subject_length,body_length,total_length,word_count,avg_word_length,unique_word_ratio,uppercase_ratio,digit_ratio,punctuation_ratio,exclamation_count,question_count,colon_count,url_count,email_count,phone_count,currency_symbol_count,attachment_hint,dear_greeting,contains_date_like,job_keyword_count,candidate_keyword_count,recruiting_keyword_count,compensation_keyword_count,business_keyword_count,support_keyword_count,job_signal_ratio,non_job_signal_ratio,is_job
49.0,313.0,363.0,58.0,5.120689655172414,0.7931034482758621,0.06825938566552901,0.011019283746556474,0.027548209366391185,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.13793103448275862,0
33.0,370.0,404.0,71.0,4.577464788732394,0.8028169014084507,0.04361370716510903,0.009900990099009901,0.027227722772277228,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.08450704225352113,0
38.0,483.0,522.0,83.0,5.144578313253012,0.7831325301204819,0.03981264637002342,0.0,0.02490421455938697,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012048192771084338,0
44.0,436.0,481.0,78.0,5.038461538461538,0.8205128205128205,0.043256997455470736,0.0,0.02494802494802495,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.038461538461538464,0
22.0,270.0,293.0,47.0,5.085106382978723,0.851063829787234,0.0502092050209205,0.0,0.027303754266211604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.02127659574468085,0.0851063829787234,0
31.0,354.0,386.0,65.0,4.8,0.8461538461538461,0.05519480519480519,0.010362694300518135,0.02849740932642487,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.1076923076923077,0
67.0,472.0,540.0,83.0,5.349397590361446,0.7590361445783133,0.06150341685649203,0.009259259259259259,0.027777777777777776,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012048192771084338,0
40.0,307.0,348.0,61.0,4.573770491803279,0.8032786885245902,0.08243727598566308,0.0,0.028735632183908046,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.01639344262295082,0.04918032786885246,0
35.0,328.0,364.0,61.0,4.786885245901639,0.8032786885245902,0.08896797153024912,0.03021978021978022,0.038461538461538464,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.03278688524590164,0
33.0,293.0,327.0,56.0,4.696428571428571,0.8392857142857143,0.05405405405405406,0.012232415902140673,0.03058103975535168,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.08928571428571429,0
