model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,auc_score,auc_score_std
Random Forest,0.9927891747168855,0.004072410838061904,0.9894736842105264,0.02105263157894739,0.8889473684210525,0.07263157894736838,0.9344956292324713,0.03845842057281736,0.9628367351091756,0.021154581117298087
Stacked Ensemble,0.9915879735156844,0.0029393832972229154,0.9794736842105264,0.02515326977968112,0.8784210526315789,0.06699733322513496,0.9239181286549709,0.028655209451207808,0.9863305268727262,0.010301726324496706
Decision Tree,0.9897879807518362,0.005882445128187018,0.9534526854219948,0.0676353337128004,0.8789473684210526,0.08633825124942512,0.9103349196372452,0.051869600493587596,0.9578984426125039,0.04203498737957153
Gradient Boost,0.9897879807518362,0.004876630829053728,0.9496638655462185,0.052344510159169556,0.8789473684210526,0.08633825124942512,0.908996138996139,0.0458074548849131,0.9565282072318217,0.026207997439096308
Logistic Regression,0.9891819530373747,0.004075630422695153,0.9323911382734911,0.06262367169099238,0.8889473684210525,0.07263157894736838,0.9062977262977263,0.036075915095692294,0.9815961481408492,0.014029926835920206
Neural Network,0.986173522920511,0.005586160398383604,0.8860130718954249,0.07188989877752573,0.8889473684210525,0.07263157894736838,0.8834512706850528,0.045149069001303506,0.9777772018006189,0.013409936377712282
