model,accuracy,precision,recall,f1_score,auc_score,accuracy_std,precision_std,recall_std,f1_score_std,auc_score_std
Random Forest,0.9923123040029515,1.0,0.8696666666666667,0.9292536839252843,0.973299378447031,0.0035304187651345135,0.0,0.05852255025961264,0.03313434773535629,0.014547998204890873
Linear Regression,0.991832687695997,1.0,0.8616666666666667,0.924422766050888,0.950959434860901,0.0039001239998850356,0.0,0.0644635986860457,0.036713164048715115,0.023099017042360524
Ridge,0.991832687695997,1.0,0.8616666666666667,0.924422766050888,0.9509189654122518,0.0039001239998850356,0.0,0.0644635986860457,0.036713164048715115,0.023158379854902204
LASSO,0.991832687695997,1.0,0.8616666666666667,0.924422766050888,0.948223186013536,0.0039001239998850356,0.0,0.0644635986860457,0.036713164048715115,0.02453156042951928
LightGBM,0.9908711492344586,0.9726896292113685,0.8696666666666667,0.917433352956017,0.9720237268820572,0.00413172669067379,0.022337263949748647,0.05852255025961264,0.03751189872708883,0.020175369650480335
CART,0.9620342187788232,0.6309803921568627,0.8696666666666667,0.7291451493152945,0.9396971723471997,0.005583483980939638,0.046976439324362795,0.05852255025961264,0.032978610107589304,0.03347032425626866
